SKU,NAME,CASE QTY,PRICE EACH,PRICE BREAK 1,PRICE BREAK 2,PRICE BREAK 3,PRICE BREAK 4,PRICE BREAK 5,CATALOG,PAGES,PREVIOUS PRICE,PREVIOUS PRICE BREAK 1,PREVIOUS PRICE BREAK 2,PREVIOUS PRICE BREAK 3,PREVIOUS PRICE BREAK 4,PREVIOUS PRICE BREAK 5,LAST PRICE CHANGE DATE,Verification_Status,Product_Category,Related_SKU_Prefix
LSCBT1,Replacement Boot for Polar Camel Sippy Cups,0,1.2,1.2,1.2,1.2,1.2,0,CATALOG24,76         ,1.14,1.14,1.14,1.14,1.14,0,07/21/2025,Confirmed,Replacement Part,LSC
LSCHNDL1,Replacement Handle for Polar Camel Sippy Cups,1,0.77,0.77,0.77,0.77,0,0,CATALOG24,76         ,0.73,0.73,0.73,0.73,0,0,07/21/2025,Confirmed,Replacement Part,LSC
LSCLID1,Polar Camel 10 oz. Sippy Cup Replacement Lid,1,2.3,2.3,2.3,2.3,0,0,CATALOG24,76         ,2.2,2.2,2.2,2.2,0,0,07/21/2025,Confirmed,Replacement Part,LSC
