SKU,NAME,CASE QTY,PRICE EACH,PRICE BREAK 1,PRICE BREAK 2,PRICE BREAK 3,PRICE BREAK 4,PRICE BREAK 5,CATALOG,PAGES,PREVIOUS PRICE,PREVIOUS PRICE BREAK 1,PREVIOUS PRICE BREAK 2,PREVIOUS PRICE BREAK 3,PREVIOUS PRICE BREAK 4,PREVIOUS PRICE BREAK 5,LAST PRICE CHANGE DATE,Verification_Status,Product_Category,Related_SKU_Prefix
DCS301S,Polar Camel 750mL Square Glass Decanter Set with Four 11 oz. Rocks Glasses in Black Gift Box with Printed Paper Sleeve,4,30.95,26.9,25.55,24.2,0,0,CATALOG24,13         ,29.2,25.4,24.1,22.85,0,0,07/21/2025,Confirmed,Main Product,DCS
DCS302S,750ml Flat Round Glass Decanter Set with Four DG302S 10 oz. Rocks Glasses in Black Gift Box with Printed Paper Sleeve (Stones not Included),4,33,29,27.75,26.5,0,0,Coming Soon,0,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,DCS
DCS303S,"750ML 12"" Tequila Decanter Set with Four 8 oz. Glasses in a Black Gift Box with Printed Paper Sleeve",4,34,30,28.75,27.5,0,0,Coming Soon,0,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,DCS
DCS351S,Polar Camel 810mL Rectangle Glass Decanter Set with Four 8 oz. Rocks Glasses in Black Gift Box with Printed Paper Sleeve,4,37.75,33.65,32.35,30.95,0,0,CATALOG24,14         ,35.6,31.75,30.5,29.2,0,0,07/21/2025,Confirmed,Main Product,DCS
DCS401S,Polar Camel 850mL Round Glass Decanter Set with Four 9 oz. Rocks Glasses in Black Gift Box with Printed Paper Sleeve,4,36.3,32.35,30.95,29.55,0,0,CATALOG24,15         ,34.25,30.5,29.2,27.9,0,0,07/21/2025,Confirmed,Main Product,DCS
DCS405S,Polar Camel 850mL Round Golf Glass Decanter Set with Four 9 oz. Golf Rocks Glasses in Black Gift Box with Printed Paper Sleeve,4,32.85,29.15,28.1,27.05,0,0,CATALOG24,0          ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,DCS
