SKU,NAME,CASE QTY,PRICE EACH,PRICE BREAK 1,PRICE BREAK 2,PRICE BREAK 3,PRICE BREAK 4,PRICE BREAK 5,CATALOG,PAGES,PREVIOUS PRICE,PREVIOUS PRICE BREAK 1,PREVIOUS PRICE BREAK 2,PREVIOUS PRICE BREAK 3,PREVIOUS PRICE BREAK 4,PREVIOUS PRICE BREAK 5,LAST PRICE CHANGE DATE,Verification_Status,Product_Category,Related_SKU_Prefix
LPC112,12 oz. Laserable Clear Plastic Cup,10,2.35,1.72,1.62,1.52,0,0,CATALOG24,77         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,LPC
LPC112L,Black Lid Only for LPC112  Clear Plastic Cup,10,0.57,0.42,0.39,0.36,0,0,CATALOG24,77         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,LPC
LPC116,16 oz. Laserable Clear Plastic Cup,10,2.55,1.93,1.83,1.72,0,0,CATALOG24,77         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,LPC
LPC116L,Black Lid Only for LPC116  Clear Plastic Cup,10,0.59,0.44,0.41,0.38,0,0,CATALOG24,77         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,LPC
LPC124,24 oz. Laserable Clear Plastic Cup,8,2.75,2.15,2.05,1.93,0,0,CATALOG24,77         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,LPC
LPC124L,Black Lid Only for LPC124  Clear Plastic Cup,8,0.61,0.46,0.43,0.4,0,0,CATALOG24,77         ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Main Product,LPC
