SKU,NAME,CASE QTY,PRICE EACH,PRICE BREAK 1,PRICE BREAK 2,PRICE BREAK 3,PRICE BREAK 4,PRICE BREAK 5,CATALOG,PAGES,PREVIOUS PRICE,PREVIOUS PRICE BREAK 1,PREVIOUS PRICE BREAK 2,PREVIOUS PRICE BREAK 3,PREVIOUS PRICE BREAK 4,PREVIOUS PRICE BREAK 5,LAST PRICE CHANGE DATE,Verification_Status,Product_Category,Related_SKU_Prefix
LWB12SET,Polar Camel 12 oz. Water Bottle Sample Set,0,160,160,160,160,0,0,CATALOG24,35         ,152.4,152.4,152.4,152.4,0,0,07/21/2025,Confirmed,Sample Set,LWB
LWB20SET2,Polar Camel 20 oz. Water Bottle Sample Set,0,169.5,169.5,169.5,169.5,0,0,CATALOG24,37         ,161.4,161.4,161.4,161.4,0,0,07/21/2025,Confirmed,Sample Set,LWB
LWB32SET2,Polar Camel 32 oz. Water Bottle Sample Set,0,196.75,196.75,196.75,196.75,0,0,CATALOG24,39         ,187.35,187.35,187.35,187.35,0,0,07/21/2025,Confirmed,Sample Set,LWB
LWB32SET3,"Polar Camel 32 oz. Water Bottle Sample Set Ion Plated (Black & White/Ghost Black, Rose Gold, Prism",0,71.5,71.5,0,0,0,0,CATALOG24,0          ,68.1,68.1,0,0,0,0,07/21/2025,Confirmed,Sample Set,LWB
LWB40SET,40 oz. Polar Camel Water Bottle Sample Set,0,182.1,182.1,182.1,182.1,0,0,CATALOG24,0          ,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,No Price Change,Confirmed,Sample Set,LWB
LWB40SET2,Polar Camel 40 oz. Water Bottle Sample Set,0,213.5,213.5,213.5,213.5,0,0,CATALOG24,41         ,203.4,203.4,203.4,203.4,0,0,07/21/2025,Confirmed,Sample Set,LWB
WBBSET1,20 oz. Polar Camel Water Bottle Boot Sample Set,0,24.5,24.5,24.5,24.5,0,0,CATALOG24,43         ,23.5,23.5,23.5,23.5,0,0,07/21/2025,Confirmed,Sample Set,LWB
WBBSET2,32 oz. Polar Camel Water Bottle Boot Sample Set,0,27.65,27.65,27.65,27.65,0,0,CATALOG24,43         ,26.45,26.45,26.45,26.45,0,0,07/21/2025,Confirmed,Sample Set,LWB
WBBSET3,40 oz. Polar Camel Water Bottle Boot Sample Set,0,29.75,29.75,29.75,29.75,0,0,CATALOG24,43         ,28.55,28.55,28.55,28.55,0,0,07/21/2025,Confirmed,Sample Set,LWB
