SKU,NAME,CASE QTY,PRICE EACH,PRICE BREAK 1,PRICE BREAK 2,PRICE BREAK 3,PRICE BREAK 4,PRICE BREAK 5,CATALOG,PAGES,PREVIOUS PRICE,PREVIOUS PRICE BREAK 1,PREVIOUS PRICE BREAK 2,PREVIOUS PRICE BREAK 3,PREVIOUS PRICE BREAK 4,PREVIOUS PRICE BREAK 5,LAST PRICE CHANGE DATE,Verification_Status,Product_Category,Related_SKU_Prefix
LSC101,Polar Camel 10 oz. Black Sippy Cup,24,12.8,11.1,10.7,10.35,0,0,CATALOG24,76         ,12.2,10.55,10.2,9.85,0,0,07/21/2025,Confirmed,Main Product,LSC
LSC102,Polar Camel 10 oz. Red Sippy Cup,24,12.8,11.1,10.7,10.35,0,0,CATALOG24,76         ,12.2,10.55,10.2,9.85,0,0,07/21/2025,Confirmed,Main Product,LSC
LSC103,Polar Camel 10 oz. Royal Blue Sippy Cup,24,12.8,11.1,10.7,10.35,0,0,CATALOG24,76         ,12.2,10.55,10.2,9.85,0,0,07/21/2025,Confirmed,Main Product,LSC
LSC104,Polar Camel 10 oz. Pink Sippy Cup,24,12.8,11.1,10.7,10.35,0,0,CATALOG24,76         ,12.2,10.55,10.2,9.85,0,0,07/21/2025,Confirmed,Main Product,LSC
LSC105,Polar Camel 10 oz. Teal Sippy Cup,24,12.8,11.1,10.7,10.35,0,0,CATALOG24,76         ,12.2,10.55,10.2,9.85,0,0,07/21/2025,Confirmed,Main Product,LSC
LSC106,Polar Camel 10 oz. Light Blue Sippy Cup,24,12.8,11.1,10.7,10.35,0,0,CATALOG24,76         ,12.2,10.55,10.2,9.85,0,0,07/21/2025,Confirmed,Main Product,LSC
LSC107,Polar Camel 10 oz. White Sippy Cup,24,12.8,11.1,10.7,10.35,0,0,CATALOG24,76         ,12.2,10.55,10.2,9.85,0,0,07/21/2025,Confirmed,Main Product,LSC
LSC108,Polar Camel 10 oz. Olive Green Sippy Cup,24,12.8,11.1,10.7,10.35,0,0,CATALOG24,76         ,12.2,10.55,10.2,9.85,0,0,07/21/2025,Confirmed,Main Product,LSC
